ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
BAJA CALIFORNIA,MEXICALI,AXB,RODOLFO VALDEZ GUTIERREZ,del 01-Dic-2007 al 30-Nov-2010,2008
BAJA CALIFORNIA,MEXICALI,COALICIoN,JAIME DIAZ OCHOA,del 01-Dic-2001 al 30-Nov-2004,2002
BAJA CALIFORNIA,MEXICALI,COALICIoN,SAMUEL ENRIQUE RAMOS FLORES,del 01-Dic-2004 al 30-Nov-2007,2005
BAJA CALIFORNIA,MEXICALI,MORENA,MARINA DEL PILAR AVILA OLMEDA,del 01-Oct-2019 al 30-Sep-2021,2020
BAJA CALIFORNIA,MEXICALI,MORENA,NORMA ALICIA BUSTAMANTE MARTINEZ,del 01-Oct-2021 al 30-Sep-2024,2022
BAJA CALIFORNIA,MEXICALI,PAN,EUGENIO ELORDUY WALTER,del 01-Dic-1995 al 30-Nov-1998,1996
BAJA CALIFORNIA,MEXICALI,PAN,GUSTAVO SANCHEZ VAZQUEZ,del 01-Dic-2016 al 07-Abr-2019,2017
BAJA CALIFORNIA,MEXICALI,PAN,JAIME RAFAEL DIAZ OCHOA,del 01-Dic-2013 al 30-Nov-2016,2014
BAJA CALIFORNIA,MEXICALI,PAN,VICTOR HERMOSILLO CELADA,del 01-Dic-1998 al 30-Nov-2001,1999
BAJA CALIFORNIA,MEXICALI,PRI,FRANCISCO JOSE PEREZ TEJADA AGUILERA,del 01-Dic-1992 al 30-Nov-1995,1992
BAJA CALIFORNIA,MEXICALI,XGR,FRANCISCO JOSE PEREZ TEJADA PADILLA,del 01-Dic-2010 al 30-Nov-2013,2011
BAJA CALIFORNIA,PLAYAS DE ROSARITO,APVM,HUGO EDUARDO TORRES CHABERT,del 01-Dic-2007 al 30-Nov-2010,2008
BAJA CALIFORNIA,PLAYAS DE ROSARITO,CM,HUGO TORRES CHABERT,del 01-Dic-1995 al 30-Nov-1998,1995
BAJA CALIFORNIA,PLAYAS DE ROSARITO,COAL,SILVANO ABARCA MACKLIS,del 01-Dic-2013 al 30-Nov-2016,2014
BAJA CALIFORNIA,PLAYAS DE ROSARITO,COALICIoN,LUIS ENRIQUE DIAZ FELIX,del 01-Dic-2001 al 30-Nov-2004,2002
BAJA CALIFORNIA,PLAYAS DE ROSARITO,MORENA,HILDA ARACELI BROWN FIGUEREDO,del 01-Oct-2019 al 30-Sep-2021,2020
BAJA CALIFORNIA,PLAYAS DE ROSARITO,MORENA,HILDA ARACELI BROWN FIGUEREDO,del 01-Oct-2021 al 30-Sep-2024,2021
